"id","title","description","link","price","brand","condition","image_link","weight","product_type","quantity"
"schezwan-veg-soft-noodles","Schezwan Veg Soft Noodles","Schezwan Veg Soft Noodles","https://lavv.bizrise.in/p/schezwan-veg-soft-noodles","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Veg Soft Noodles","In stock",""
"chilli-garlic-veg-fried-rice","Chilli Garlic Veg Fried Rice","Chilli Garlic Veg Fried Rice","https://lavv.bizrise.in/p/chilli-garlic-veg-fried-rice","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Veg Fried Rice","In stock",""
"veg-manchow-soup","Veg Manchow Soup","Veg Manchow Soup","https://lavv.bizrise.in/p/veg-manchow-soup","100.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Manchow Soup","In stock",""
"spicy-pad-chicken","Spicy Pad Chicken","Spicy Pad Chicken","https://lavv.bizrise.in/p/spicy-pad-chicken","270.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Spicy Pad Chicken","In stock",""
"badam-pakodi500-gm","Badam Pakodi","Badam Pakodi","https://lavv.bizrise.in/p/badam-pakodi500-gm","90.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/4d8f1132-f07f-4622-9c6d-9752ed01d10c.png","100.0","Badam Pakodi","In stock",""
"chilli-garlic-prawns-soft-noodles","Chilli Garlic Prawns Soft Noodles","Chilli Garlic Prawns Soft Noodles","https://lavv.bizrise.in/p/chilli-garlic-prawns-soft-noodles","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Prawns Soft Noodles","In stock",""
"tandoori-chicken-full","Tandoori Chicken (Full)","Tandoori Chicken (Full)","https://lavv.bizrise.in/p/tandoori-chicken-full","350.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Tandoori Chicken (Full)","In stock",""
"bacon-streaky150g","Bacon - Streaky","Bacon - Streaky","https://lavv.bizrise.in/p/bacon-streaky150g","335.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f5856dde.png?alt=media","100.0","Bacon - Streaky","In stock",""
"burger-rolls-pack-of-6-400-gms","Burger Rolls (Pack of 6) 400 gms","Burger Rolls (Pack of 6) 400 gms","https://lavv.bizrise.in/p/burger-rolls-pack-of-6-400-gms","40.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Burger Rolls (Pack of 6) 400 gms","In stock",""
"dal-fry","Dal Fry","Dal Fry","https://lavv.bizrise.in/p/dal-fry","160.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Dal Fry","In stock",""
"catch-coriander-powder100g","Catch Coriander Powder","Catch Coriander Powder","https://lavv.bizrise.in/p/catch-coriander-powder100g","27.0","default","NEW","https://firebasestorage.googleapis.com/v0/b/projectbk-c0094.appspot.com/o/stores%2Fmasala1%2F3635384175f52f8bbe.png?alt=media","100.0","Catch Coriander Powder","In stock",""
"schezwan-chicken","Schezwan Chicken","Schezwan Chicken","https://lavv.bizrise.in/p/schezwan-chicken","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Chicken","In stock",""
"ginger-chicken","Ginger Chicken","Ginger Chicken","https://lavv.bizrise.in/p/ginger-chicken","240.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Ginger Chicken","In stock",""
"chili-powder1-piece","Chili Powder","Chili Powder","https://lavv.bizrise.in/p/chili-powder1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/6d2d95d3-572a-47a4-a2f3-ea8deb5adc8b.png","100.0","Chili Powder","In stock",""
"telangana-chicken-curry-bone","Telangana Chicken Curry (Bone)","Telangana Chicken Curry (Bone)","https://lavv.bizrise.in/p/telangana-chicken-curry-bone","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Telangana Chicken Curry (Bone)","In stock",""
"chilli-garlic-egg-fried-rice","Chilli Garlic Egg Fried Rice","Chilli Garlic Egg Fried Rice","https://lavv.bizrise.in/p/chilli-garlic-egg-fried-rice","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Egg Fried Rice","In stock",""
"curry-powder1-piece","Curry Powder","Curry Powder","https://lavv.bizrise.in/p/curry-powder1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/a7009c17-ce04-4036-926b-5b21aca56148.png","100.0","Curry Powder","In stock",""
"raw-banana1-piece","Raw Banana","Raw Banana","https://lavv.bizrise.in/p/raw-banana1-piece","6.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/486acd2a-db2c-4751-9b90-8b910f40da81.png","100.0","Raw Banana","In stock",""
"nizami-handi","Nizami Handi","Nizami Handi","https://lavv.bizrise.in/p/nizami-handi","180.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Nizami Handi","In stock",""
"special-chicken-family-pack","Special Chicken Family Pack","Special Chicken Family Pack","https://lavv.bizrise.in/p/special-chicken-family-pack","640.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Special Chicken Family Pack","In stock",""
"veg-do-pyaza","Veg Do Pyaza","Veg Do Pyaza","https://lavv.bizrise.in/p/veg-do-pyaza","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Do Pyaza","In stock",""
"prior10","prior","prior","https://lavv.bizrise.in/p/prior10","1999.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/prior10/prior10-2.jpg","100.0","prior","In stock",""
"coconut-cookies-box-350-gms","Coconut Cookies Box (350 gms)","Coconut Cookies Box (350 gms)","https://lavv.bizrise.in/p/coconut-cookies-box-350-gms","175.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Coconut Cookies Box (350 gms)","In stock",""
"veg-hakka-noodles","Veg Hakka Noodles","Veg Hakka Noodles","https://lavv.bizrise.in/p/veg-hakka-noodles","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Hakka Noodles","In stock",""
"but41n-veget41ble","BUTAN VEGETABLE","BUTAN VEGETABLE","https://lavv.bizrise.in/p/but41n-veget41ble","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","BUTAN VEGETABLE","In stock",""
"frock1-piece","Frock","Frock","https://lavv.bizrise.in/p/frock1-piece","399.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/5452/f0fcada9-40ac-48c6-b53d-c7cdb44f3738.png","100.0","Frock","In stock",""
"ruchi-gold500-ml","Ruchi Gold","Ruchi Gold","https://lavv.bizrise.in/p/ruchi-gold500-ml","55.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/1bacd5b6-52d8-4195-af87-c0ce8c62fb39.png","100.0","Ruchi Gold","In stock",""
"jeera-rice","Jeera Rice","Jeera Rice","https://lavv.bizrise.in/p/jeera-rice","160.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Jeera Rice","In stock",""
"single-special-chicken-biryani","Single Special Chicken Biryani","Single Special Chicken Biryani","https://lavv.bizrise.in/p/single-special-chicken-biryani","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Single Special Chicken Biryani","In stock",""
"garlic-naan","Garlic Naan","Garlic Naan","https://lavv.bizrise.in/p/garlic-naan","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Garlic Naan","In stock",""
"capsicum-masala","Capsicum Masala","Capsicum Masala","https://lavv.bizrise.in/p/capsicum-masala","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Capsicum Masala","In stock",""
"chudaa1-kg","Chudaa","Chudaa","https://lavv.bizrise.in/p/chudaa1-kg","29.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/cef7e778-7196-4cd7-839f-05679bc33145.png","100.0","Chudaa","In stock",""
"chicken-88","CHICKEN 88","CHICKEN 88","https://lavv.bizrise.in/p/chicken-88","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","CHICKEN 88","In stock",""
"hot-dog-rolls-pack-of-6-400-gms","Hot Dog Rolls (Pack of 6) 400 gms","Hot Dog Rolls (Pack of 6) 400 gms","https://lavv.bizrise.in/p/hot-dog-rolls-pack-of-6-400-gms","48.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Hot Dog Rolls (Pack of 6) 400 gms","In stock",""
"41tta-biscuits-box-400-gms","Atta Biscuits Box (400 gms) ","Atta Biscuits Box (400 gms) ","https://lavv.bizrise.in/p/41tta-biscuits-box-400-gms","140.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Atta Biscuits Box (400 gms) ","In stock",""
"bread-crump-prawns","Bread Crump Prawns","Bread Crump Prawns","https://lavv.bizrise.in/p/bread-crump-prawns","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Bread Crump Prawns","In stock",""
"product-name-required1000","Product name (required)","Product name (required)","https://lavv.bizrise.in/p/product-name-required1000","200.0","prod","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","159.0","Product name (required)","In stock",""
"schezwan-prawns-soft-noodles","Schezwan Prawns Soft Noodles","Schezwan Prawns Soft Noodles","https://lavv.bizrise.in/p/schezwan-prawns-soft-noodles","250.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Prawns Soft Noodles","In stock",""
"mutton-masala-boneless","Mutton Masala (Boneless)","Mutton Masala (Boneless)","https://lavv.bizrise.in/p/mutton-masala-boneless","320.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Masala (Boneless)","In stock",""
"mutton-masala-bones","Mutton Masala (Bones)","Mutton Masala (Bones)","https://lavv.bizrise.in/p/mutton-masala-bones","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Masala (Bones)","In stock",""
"paneer-koftha","Paneer Koftha","Paneer Koftha","https://lavv.bizrise.in/p/paneer-koftha","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer Koftha","In stock",""
"kurti1-piece","Kurti","Kurti","https://lavv.bizrise.in/p/kurti1-piece","449.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/5452/441d2c86-3469-4703-952d-b8ae2851d64a.png","100.0","Kurti","In stock",""
"veg-hara-bara-kabab","Veg Hara Bara Kabab","Veg Hara Bara Kabab","https://lavv.bizrise.in/p/veg-hara-bara-kabab","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Hara Bara Kabab","In stock",""
"veg-jaipuri","Veg Jaipuri","Veg Jaipuri","https://lavv.bizrise.in/p/veg-jaipuri","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Jaipuri","In stock",""
"paneer-shai-kurma","Paneer Shai Kurma","Paneer Shai Kurma","https://lavv.bizrise.in/p/paneer-shai-kurma","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer Shai Kurma","In stock",""
"samsung","samsung","<p><br></p>","https://lavv.bizrise.in/p/samsung","56.0","default","NEW","","100.0","samsung","In stock",""
"gongura-mutton-curry-boneless","Gongura Mutton Curry (Boneless)","Gongura Mutton Curry (Boneless)","https://lavv.bizrise.in/p/gongura-mutton-curry-boneless","320.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Gongura Mutton Curry (Boneless)","In stock",""
"kheema-biryani","Kheema Biryani","Kheema Biryani","https://lavv.bizrise.in/p/kheema-biryani","310.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Kheema Biryani","In stock",""
"schezwan-veg-fried-rice","Schezwan Veg Fried Rice","Schezwan Veg Fried Rice","https://lavv.bizrise.in/p/schezwan-veg-fried-rice","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Veg Fried Rice","In stock",""
"double-hiran1-litre","Double Hiran","Double Hiran","https://lavv.bizrise.in/p/double-hiran1-litre","150.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/ea16ecb3-7b70-42e0-b9a2-70c9939117f6.png","100.0","Double Hiran","In stock",""
"chilli-paneer-wet","Chilli Paneer Wet","Chilli Paneer Wet","https://lavv.bizrise.in/p/chilli-paneer-wet","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Paneer Wet","In stock",""
"plain-parata","Plain Parata","Plain Parata","https://lavv.bizrise.in/p/plain-parata","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Plain Parata","In stock",""
"rice1","Rice","Rice","https://lavv.bizrise.in/p/rice1","45.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/4916849/product/rice1/rice1-1631613589318_1.jpg","100.0","Rice","In stock",""
"b41bycorn-65","BABYCORN 65","BABYCORN 65","https://lavv.bizrise.in/p/b41bycorn-65","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","BABYCORN 65","In stock",""
"jeera-biscuits-250-gms","Jeera Biscuits 250 gms","Jeera Biscuits 250 gms","https://lavv.bizrise.in/p/jeera-biscuits-250-gms","80.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Jeera Biscuits 250 gms","In stock",""
"ganthia500-gm","Ganthia","Ganthia","https://lavv.bizrise.in/p/ganthia500-gm","90.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/7d046bde-85de-4424-b888-3a3789aa5bfc.png","100.0","Ganthia","In stock",""
"mutton-curry-boneless","Mutton Curry (Boneless) ","Mutton Curry (Boneless) ","https://lavv.bizrise.in/p/mutton-curry-boneless","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Curry (Boneless) ","In stock",""
"mixed-non-veg-spring-roll","Mixed Non-Veg Spring Roll","Mixed Non-Veg Spring Roll","https://lavv.bizrise.in/p/mixed-non-veg-spring-roll","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mixed Non-Veg Spring Roll","In stock",""
"pizza10","Pizza","Pizza","https://lavv.bizrise.in/p/pizza10","1999.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/pizza10.jpg","100.0","Pizza","In stock",""
"41loo-parata","Aloo Parata","Aloo Parata","https://lavv.bizrise.in/p/41loo-parata","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Aloo Parata","In stock",""
"girls-dangri10","Girls Dangri","Girls Dangri","https://lavv.bizrise.in/p/girls-dangri10","1999.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/girls-dangri10.jpg","100.0","Girls Dangri","In stock",""
"tata-tea1-piece","Tata Tea","Tata Tea","https://lavv.bizrise.in/p/tata-tea1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/bc928db9-73aa-4465-a869-ed788891606a.png","100.0","Tata Tea","In stock",""
"ana2","ana2","<p><br></p>","https://lavv.bizrise.in/p/ana2","22.0","default","NEW","","100.0","ana2","In stock",""
"one-plus","one plus","<p><br></p>","https://lavv.bizrise.in/p/one-plus","200000.0","default","NEW","","100.0","one plus","In stock",""
"egg-spring-roll","Egg Spring Roll","Egg Spring Roll","https://lavv.bizrise.in/p/egg-spring-roll","230.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Egg Spring Roll","In stock",""
"schezwan-chicken-soft-noodles","Schezwan Chicken Soft Noodles","Schezwan Chicken Soft Noodles","https://lavv.bizrise.in/p/schezwan-chicken-soft-noodles","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Schezwan Chicken Soft Noodles","In stock",""
"t-shirt10","t-shirt","t-shirt","https://lavv.bizrise.in/p/t-shirt10","1999.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/t-shirt10/t-shirt10-2.jpg","100.0","t-shirt","In stock",""
"hi2","hi","hi","https://lavv.bizrise.in/p/hi2","25.0","default","NEW","","100.0","hi","In stock",""
"coriander-powder1-piece","Coriander Powder","Coriander Powder","https://lavv.bizrise.in/p/coriander-powder1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/9ba6b5ea-995b-4d9f-b8a5-c595ecb6db2c.png","100.0","Coriander Powder","In stock",""
"nan-khatai-box-400-gms","Nan Khatai Box (400 gms)","Nan Khatai Box (400 gms)","https://lavv.bizrise.in/p/nan-khatai-box-400-gms","165.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Nan Khatai Box (400 gms)","In stock",""
"jeera-biscuits-box-400-gms","Jeera Biscuits Box (400 gms)","Jeera Biscuits Box (400 gms)","https://lavv.bizrise.in/p/jeera-biscuits-box-400-gms","140.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Jeera Biscuits Box (400 gms)","In stock",""
"prawns-biryani","Prawns Biryani","Prawns Biryani","https://lavv.bizrise.in/p/prawns-biryani","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Prawns Biryani","In stock",""
"reshmi-kabab","Reshmi Kabab","Reshmi Kabab","https://lavv.bizrise.in/p/reshmi-kabab","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Reshmi Kabab","In stock",""
"mutton-biryani","Mutton Biryani","Mutton Biryani","https://lavv.bizrise.in/p/mutton-biryani","270.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Biryani","In stock",""
"41jwain-biscuits-box-400-gms","Ajwain Biscuits Box (400 gms)","Ajwain Biscuits Box (400 gms)","https://lavv.bizrise.in/p/41jwain-biscuits-box-400-gms","40.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Ajwain Biscuits Box (400 gms)","In stock",""
"telangana-mutton-curry-bones","Telangana Mutton Curry (Bones)","Telangana Mutton Curry (Bones)","https://lavv.bizrise.in/p/telangana-mutton-curry-bones","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Telangana Mutton Curry (Bones)","In stock",""
"delivery-weight10","delivery weight","<p><br></p>","https://lavv.bizrise.in/p/delivery-weight10","22.0","default","NEW","","100.0","delivery weight","In stock",""
"matar500-gm","Matar","Matar","https://lavv.bizrise.in/p/matar500-gm","42.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/219ef164-cbaf-41ca-99b8-02f0b3ec5c84.png","100.0","Matar","In stock",""
"stuffed-parata","Stuffed Parata","Stuffed Parata","https://lavv.bizrise.in/p/stuffed-parata","50.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Stuffed Parata","In stock",""
"cashew-custard-cookies-box-400-gms","Cashew Custard Cookies Box (400 gms)","Cashew Custard Cookies Box (400 gms)","https://lavv.bizrise.in/p/cashew-custard-cookies-box-400-gms","175.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Cashew Custard Cookies Box (400 gms)","In stock",""
"testing","testing","testing","https://lavv.bizrise.in/p/testing","2000.0","default","NEW","","100.0","testing","In stock",""
"veg-koftha","Veg Koftha","Veg Koftha","https://lavv.bizrise.in/p/veg-koftha","200.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Koftha","In stock",""
"single-veg-biryani","Single Veg Biryani","Single Veg Biryani","https://lavv.bizrise.in/p/single-veg-biryani","150.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Single Veg Biryani","In stock",""
"autoo26c57575contessa","autoo","<p>this is my dish</p><p>and please have it</p>","https://lavv.bizrise.in/p/autoo26c57575contessa","399.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/product/autoo26c57575contessa/autoo26c57575contessa-1.jpg","100.0","autoo","In stock",""
"veg-family-pack","Veg Family Pack","Veg Family Pack","https://lavv.bizrise.in/p/veg-family-pack","450.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Family Pack","In stock",""
"veg-hakka-soup","Veg Hakka Soup","Veg Hakka Soup","https://lavv.bizrise.in/p/veg-hakka-soup","100.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Veg Hakka Soup","In stock",""
